@relation 'dataset-weka.filters.unsupervised.attribute.AddValues-C10-L6,7-weka.filters.unsupervised.attribute.AddValues-C11-L6,7,8-weka.filters.unsupervised.attribute.AddValues-C12-L6,7,8-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C15-L1-5-V-H'

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8}
@attribute outputs-4 {0,1,2,3,4,5}
@attribute outputs-5 {0,1,2,3,4,5}
@attribute outputs-6 {0,1,2,3,4}

@data
48,'2018/10/08 17:04:26:764',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
49,'2018/10/08 17:04:26:797',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
50,'2018/10/08 17:04:26:828',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
51,'2018/10/08 17:04:26:865',1,-0.027451,1,-0.011765,-0.003922,-1,-1,1,?,?,?,?,?
52,'2018/10/08 17:04:30:838',2,-0.07451,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
53,'2018/10/08 17:04:30:873',2,-0.07451,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
54,'2018/10/08 17:04:30:905',2,-0.07451,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
55,'2018/10/08 17:04:30:938',2,-0.066667,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
56,'2018/10/08 17:04:30:973',2,-0.07451,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
57,'2018/10/08 17:04:31:007',2,-0.066667,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
58,'2018/10/08 17:04:31:040',2,-0.066667,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
59,'2018/10/08 17:04:31:074',2,-0.07451,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
60,'2018/10/08 17:04:31:105',2,-0.07451,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
61,'2018/10/08 17:04:31:140',2,-0.07451,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
62,'2018/10/08 17:04:31:173',2,-0.066667,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
63,'2018/10/08 17:04:31:207',2,-0.07451,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
64,'2018/10/08 17:04:31:238',2,-0.07451,0.772549,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
65,'2018/10/08 17:04:31:273',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
66,'2018/10/08 17:04:31:305',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
67,'2018/10/08 17:04:31:342',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
68,'2018/10/08 17:04:31:372',2,-0.066667,0.764706,-0.011765,-0.003922,-1,-1,2,?,?,?,?,?
